class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ArrayStack,empty(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.isEmpty() ? methodResultID==true:methodResultID==false;,assert methodResultID == receiverObjectID.empty();,AssertionRelation.UNSUPPORTED,Variable 'methodResultID' used as both Type.REF and Type.BOOL
ArrayStack,peek(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert !receiverObjectID.empty();,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
ArrayStack,peek(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(receiverObjectID.peek());,assert methodResultID != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
ArrayStack,peek(n),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.size()<args[0];,assert !receiverObjectID.empty();,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
ArrayStack,peek(n),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(receiverObjectID.get(receiverObjectID.size() - args[0])-1);,assert methodResultID == receiverObjectID.peek() == args[0];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
ArrayStack,pop(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert !receiverObjectID.empty();,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
ArrayStack,search(object),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.contains(args[0]) ? methodResultID==receiverObjectID.indexOf(args[0])+1 : methodResultID==-1;,assert methodResultID == (args[0] >= 0) ? (receiverObjectID.search(args[0]) > -1 ? receiverObjectID.search(args[0]) : -1) : -1;,AssertionRelation.UNSUPPORTED,Both branches of ?: must have same type
BagUtils,emptyBag(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(receiverObjectID.EMPTY_BAG);,assert methodResultID == receiverObjectID.isEmpty();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
BagUtils,emptySortedBag(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(receiverObjectID.EMPTY_SORTED_BAG);,assert methodResultID == receiverObjectID.emptySortedBag() != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,emptyCollection(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);,assert methodResultID == receiverObjectID.isEmpty();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,emptyIfNull(collection),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0]==null ? methodResultID.equals(org.apache.commons.collections4.CollectionUtils.emptyCollection());,assert methodResultID == (args[0] == null ? true : args[0]);,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,forAllDo(collection closure),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID.equals(args[1]);,assert methodResultID == receiverObjectID.closure;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,forAllDo(iterator closure),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID.equals(args[1]);,assert methodResultID == receiverObjectID.isEmpty() ? null : args[1];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,forAllButLastDo(collection closure),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (args[0]==null || args[1]==null) ? methodResultID==null : args[0].get(args[0].size() - 1);,"assert methodResultID == receiverObjectID.find(receiverObjectID.collection(), null) != null;",AssertionRelation.UNSUPPORTED,"Expected Type.BOOL, got Type.REF"
CollectionUtils,forAllButLastDo(iterator closure),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0]==null || args[1]==null ? methodResultID==null;,"assert methodResultID == receiverObjectID.find(null, args[1]) != null;",AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,size(object),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0]==null ? methodResultID == 0;,"assert methodResultID == (args[0] != null ? ((args[0] instanceof Collection) ? ((Collection<?>) args[0]).size() : ((Map<?, ?>) args[0]).size()) : 0);",AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,sizeIsEmpty(object),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0].isEmpty() || args[0]==null ? methodResultID==true;,assert methodResultID == (args[0] == null || receiverObjectID.isEmpty(args[0]));,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,isEmpty(coll),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0].isEmpty() || args[0]==null ? methodResultID==true;,assert methodResultID == (args[0] == null || args[0].isEmpty());,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,isNotEmpty(coll),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (args[0]==null)==false && (args[0].isEmpty())==false ? true;,assert methodResultID == !args[0].isEmpty();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
