class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
UnicodeEscaper,escape(cp),ConditionKind.PARAM,cp,ConditionKind.PARAM,cp,,assert (cp >= 0) && (cp <= Character.MAX_CODE_POINT);,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(cp),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert (methodResultID == null) || methodResultID.length > 0;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.PARAM,csq,ConditionKind.PARAM,csq,,assert csq != null;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.PARAM,start,ConditionKind.PARAM,start,,assert start >= 0;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.PARAM,end,ConditionKind.PARAM,end,,assert end > 0 && end <= csq.length();,AssertionRelation.UNEXPECTED,
UnicodeEscaper,nextEscapeIndex(csq start end),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !isValidSurrogatePair(args[0], args[1], args[2]);",AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(string),ConditionKind.PARAM,string,ConditionKind.PARAM,string,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(string),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
UnicodeEscaper,escape(string),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !isValidUtf16(args[0]);,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escape(string),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null && !methodResultID.equals(receiverObjectID.escape(string));,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escapeSlow(s index),ConditionKind.PARAM,s,ConditionKind.PARAM,s,,,AssertionRelation.EMPTY,
UnicodeEscaper,escapeSlow(s index),ConditionKind.PARAM,index,ConditionKind.PARAM,index,,,AssertionRelation.EMPTY,
UnicodeEscaper,escapeSlow(s index),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
UnicodeEscaper,escapeSlow(s index),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !isValidSurrogateCharacters(args[0]);,AssertionRelation.UNEXPECTED,
UnicodeEscaper,escapeSlow(s index),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.PARAM,seq,ConditionKind.PARAM,seq,,,AssertionRelation.EMPTY,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.PARAM,index,ConditionKind.PARAM,index,,,AssertionRelation.EMPTY,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.PARAM,end,ConditionKind.PARAM,end,,,AssertionRelation.EMPTY,
UnicodeEscaper,codePointAt(seq index end),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
