"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ArrayStack","peek(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.get(receiverObjectID.size() - args[0])-1);","assert methodResultID == receiverObjectID.peek(args[0]);","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"ArrayStack","search(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.contains(args[0]) ? methodResultID==receiverObjectID.indexOf(args[0])+1 : methodResultID==-1;","assert (methodResultID == -1) || (receiverObjectID.search(args[0]) == methodResultID);","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.REF"
"CollectionUtils","emptyIfNull(collection)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null ? methodResultID.equals(org.apache.commons.collections4.CollectionUtils.emptyCollection());","assert (args[0] == null && methodResult.isEmpty()) || args[0] == methodResult;","AssertionRelation.UNSUPPORTED","sort mismatch"
"CollectionUtils","extractSingleton(collection)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0].isEmpty() || args[0].size()>1;","assert isEmpty(args[0]) || cardinality(args[0], null) > 1;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"StepFunction","StepFunction(x y)","ConditionKind.THROWS","NonMonotonicSequenceException","ConditionKind.THROWS","NonMonotonicSequenceException","assert MathArrays.checkOrder(args[0])==false;","assert !isSorted(args[0]);","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","assert args[3]<=receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","assert args[3] <= SIMPSON_MAX_ITERATIONS_COUNT && args[3] >= args[2];","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"SimpsonIntegrator","SimpsonIntegrator(minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","assert args[1]<=receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","assert args[1] <= SIMPSON_MAX_ITERATIONS_COUNT && args[1] > args[0];","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"PolynomialFunctionNewtonForm","PolynomialFunctionNewtonForm(a c)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length - args[1].length) == 1) == false;","assert Math.abs(args[0].length - args[1].length) != 1;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"PolynomialFunctionNewtonForm","evaluate(a c z)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].lenght - args[1].length)==1) == false;","assert Math.abs(args[0].length - args[1].length) != 1;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"PolynomialFunctionNewtonForm","verifyInputArray(a c)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length - args[1].length)==1) == false;","assert Math.abs(args[0].length - args[1].length) != 1;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"BigFraction","BigFraction(num den)","ConditionKind.THROWS","ZeroException","ConditionKind.THROWS","ZeroException","assert args[1]==(org.apache.commons.math3.fraction.BigFraction.ZERO);","assert args[1].equals(BigInteger.ZERO);","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"BigFraction","divide(bg)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0]==(org.apache.commons.math3.fraction.BigFraction.ZERO);","assert args[0].equals(BigInteger.ZERO);","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"BigFraction","divide(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0]==(org.apache.commons.math3.fraction.BigFraction.ZERO);","assert args[0].getDenominator() == 0 && args[0].getNumerator() == 0;","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
