"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"StrTok","StrTok(s)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"StrTok","StrTok(s e)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"StrTok","StrTok(s e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"StrTok","nextToken()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrTok","token()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrTok","commentChar(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","assert args[0] != 0;","AssertionRelation.UNEXPECTED",""
"StrTok","quoteChar(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","assert args[0] != Character.MIN_VALUE;","AssertionRelation.UNEXPECTED",""
"StrTok","ttype()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"StrTok","isWord()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID;","AssertionRelation.UNEXPECTED",""
"StrTok","isQString()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isQString();","AssertionRelation.UNEXPECTED",""
"StrTok","set_error_handler(errorHandler)","ConditionKind.PARAM","errorHandler","ConditionKind.PARAM","errorHandler","","assert (args[0] != null);","AssertionRelation.UNEXPECTED",""
"StrTok","need(tok)","ConditionKind.PARAM","tok","ConditionKind.PARAM","tok","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"StrTok","need_word()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && receiverObjectID.isWord();","AssertionRelation.UNEXPECTED",""
