"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Fraction","Fraction(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","assert !receiverObjectID.getReducedFraction((int)args[0], 1).equals(args[0]);","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","epsilon","ConditionKind.PARAM","epsilon","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","maxIterations","ConditionKind.PARAM","maxIterations","","assert args[2] > 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","assert !receiverObjectID.getReducedFraction((int)args[0], (int)args[1]).equals(receiverObjectID);","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.PARAM","maxDenominator","ConditionKind.PARAM","maxDenominator","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","assert !receiverObjectID.getReducedFraction((int)args[0], args[1]).equals(args[0]);","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num)","ConditionKind.PARAM","num","ConditionKind.PARAM","num","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num den)","ConditionKind.PARAM","num","ConditionKind.PARAM","num","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num den)","ConditionKind.PARAM","den","ConditionKind.PARAM","den","","assert (args[1] == 0) == false;","AssertionRelation.UNEXPECTED",""
"Fraction","Fraction(num den)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[1]==0;","assert args[1] == 0;","AssertionRelation.IDENTICAL",""
"Fraction","abs()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getNumerator() == Math.abs(receiverObjectID.getNumerator()) && methodResultID.getDenominator() == receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","compareTo(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Fraction","compareTo(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1 && receiverObjectID.compareTo(args[0]) < 0) || (methodResultID == 1 && receiverObjectID.compareTo(args[0]) > 0) || (methodResultID == 0 && receiverObjectID.compareTo(args[0]) == 0);","AssertionRelation.UNEXPECTED",""
"Fraction","doubleValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (double)receiverObjectID.getNumerator() / receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","equals(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Fraction","equals(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0] != null && args[0] instanceof Fraction && receiverObjectID.getNumerator() == ((Fraction)args[0]).getNumerator() && receiverObjectID.getDenominator() == ((Fraction)args[0]).getDenominator());","AssertionRelation.UNEXPECTED",""
"Fraction","floatValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (float)receiverObjectID.getNumerator() / receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","getDenominator()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","getNumerator()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getNumerator();","AssertionRelation.UNEXPECTED",""
"Fraction","hashCode()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.hashCode();","AssertionRelation.UNEXPECTED",""
"Fraction","intValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getNumerator() / receiverObjectID.getDenominator();","AssertionRelation.UNEXPECTED",""
"Fraction","longValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.getNumerator() / receiverObjectID.getDenominator());","AssertionRelation.UNEXPECTED",""
"Fraction","negate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getReducedFraction(-receiverObjectID.getNumerator(), receiverObjectID.getDenominator()));","AssertionRelation.UNEXPECTED",""
"Fraction","reciprocal()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getNumerator() == receiverObjectID.getDenominator() && methodResultID.getDenominator() == receiverObjectID.getNumerator();","AssertionRelation.UNEXPECTED",""
"Fraction","add(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"Fraction","add(fraction)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"Fraction","add(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (receiverObjectID.getNumerator() + ((Fraction)args[0]).getNumerator()) > Integer.MAX_VALUE || (receiverObjectID.getDenominator() * ((Fraction)args[0]).getDenominator()) > Integer.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"Fraction","add(fraction)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"Fraction","add(i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","add(i)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"Fraction","subtract(fraction)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"Fraction","subtract(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert Math.abs(receiverObjectID.getNumerator() - args[0].getNumerator()) > Integer.MAX_VALUE || Math.abs(receiverObjectID.getDenominator() * args[0].getDenominator()) > Integer.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(fraction)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getNumerator() == receiverObjectID.getNumerator() - args[0].getNumerator() * receiverObjectID.getDenominator() / args[0].getDenominator() && methodResultID.getDenominator() == receiverObjectID.getDenominator() * args[0].getDenominator() / gcd(receiverObjectID.getDenominator(), args[0].getDenominator());","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert true;","AssertionRelation.UNEXPECTED",""
"Fraction","subtract(i)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.subtract(args[0]));","AssertionRelation.UNEXPECTED",""
"Fraction","multiply(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
